,precision,recall,f1-score,support
0,0.8468468468468469,0.8785046728971962,0.8623853211009175,107
1,0.6976744186046512,0.6382978723404256,0.6666666666666666,47
accuracy,0.8051948051948052,0.8051948051948052,0.8051948051948052,0.8051948051948052
macro avg,0.7722606327257491,0.758401272618811,0.764525993883792,154
weighted avg,0.8013201966690339,0.8051948051948052,0.8026530044878668,154
